interval,number_of_buses,total_passengers_served,total_passengers_lost,revenue_gained,revenue_lost,total_wait_time,average_wait_time,program_execution_time
10,71,3518,8369,10554,25107,27283.68,7.76,0.2582437992095947
10,71,3531,8390,10593,25170,26521.66,7.51,0.26852989196777344
10,71,3546,8412,10638,25236,27078.54,7.64,0.26205992698669434
10,71,3539,8481,10617,25443,26663.13,7.53,0.2617931365966797
10,71,3513,8365,10539,25095,27790.44,7.91,0.26179003715515137
10,71,3525,8416,10575,25248,26584.37,7.54,0.26505184173583984
10,71,3522,8410,10566,25230,25986.79,7.38,0.2624180316925049
10,71,3518,8495,10554,25485,29160.41,8.29,0.2695300579071045
10,71,3518,8510,10554,25530,26825.4,7.63,0.2678639888763428
10,71,3544,8407,10632,25221,27746.25,7.83,0.26152920722961426
10,71,3534,8597,10602,25791,28334.28,8.02,0.2668430805206299
10,71,3545,8445,10635,25335,26364.39,7.44,0.26639890670776367
10,71,3529,8125,10587,24375,26760.16,7.58,0.2630040645599365
10,71,3524,8262,10572,24786,27173.64,7.71,0.25837016105651855
10,71,3545,8078,10635,24234,25713.53,7.25,0.26142215728759766
10,71,3542,8385,10626,25155,27112.72,7.65,0.26697301864624023
10,71,3507,8549,10521,25647,26283.37,7.49,0.27540087699890137
10,71,3530,8233,10590,24699,26984.46,7.64,0.2586648464202881
10,71,3524,8364,10572,25092,27694.66,7.86,0.26555299758911133
10,71,3524,8171,10572,24513,27191.04,7.72,0.25612902641296387
10,71,3536,8487,10608,25461,26631.35,7.53,0.26728296279907227
10,71,3525,8415,10575,25245,27359.44,7.76,0.26608824729919434
10,71,3524,8046,10572,24138,26550.25,7.53,0.26103901863098145
10,71,3505,8177,10515,24531,25573.35,7.3,0.2574930191040039
10,71,3527,8108,10581,24324,25634.0,7.27,0.26251983642578125
10,71,3526,8303,10578,24909,26171.21,7.42,0.26619482040405273
10,71,3534,8274,10602,24822,27401.15,7.75,0.2644071578979492
10,71,3533,8437,10599,25311,27804.65,7.87,0.2664449214935303
10,71,3530,8217,10590,24651,26118.69,7.4,0.2660973072052002
10,71,3529,8393,10587,25179,27913.48,7.91,0.2645530700683594
5,142,5705,8005,17115,24015,27381.08,4.8,0.599431037902832
5,142,5689,7613,17067,22839,25447.02,4.47,0.5879359245300293
5,142,5702,7809,17106,23427,26516.29,4.65,0.6011121273040771
5,142,5673,7853,17019,23559,26260.61,4.63,0.5805909633636475
5,142,5719,7503,17157,22509,25792.9,4.51,0.5859889984130859
5,142,5722,7718,17166,23154,27027.83,4.72,0.5894742012023926
5,142,5689,7724,17067,23172,26746.66,4.7,0.5953147411346436
5,142,5645,7538,16935,22614,26724.15,4.73,0.5833630561828613
5,142,5673,7750,17019,23250,26084.58,4.6,0.5863127708435059
5,142,5706,8072,17118,24216,27182.13,4.76,0.5975110530853271
5,142,5648,7812,16944,23436,26018.93,4.61,0.5951511859893799
5,142,5707,8151,17121,24453,26962.12,4.72,0.592149019241333
5,142,5676,8019,17028,24057,27878.24,4.91,0.5877532958984375
5,142,5708,7683,17124,23049,26117.78,4.58,0.5864858627319336
5,142,5700,7365,17100,22095,25843.07,4.53,0.5853500366210938
5,142,5688,7328,17064,21984,25695.11,4.52,0.5923221111297607
5,142,5681,7826,17043,23478,27334.66,4.81,0.5843551158905029
5,142,5681,7569,17043,22707,26370.79,4.64,0.5863351821899414
5,142,5656,7711,16968,23133,26336.86,4.66,0.5852491855621338
5,142,5687,7810,17061,23430,25756.15,4.53,0.5925350189208984
5,142,5699,7212,17097,21636,25252.44,4.43,0.6056890487670898
5,142,5711,7868,17133,23604,27072.17,4.74,0.5893831253051758
5,142,5734,8248,17202,24744,28032.19,4.89,0.5930318832397461
5,142,5676,7626,17028,22878,26841.89,4.73,0.5870912075042725
5,142,5674,7585,17022,22755,27457.64,4.84,0.5964930057525635
5,142,5689,7944,17067,23832,26487.3,4.66,0.5936150550842285
5,142,5715,7583,17145,22749,26740.83,4.68,0.5894808769226074
5,142,5694,8243,17082,24729,27385.24,4.81,0.604233980178833
5,142,5686,7580,17058,22740,26789.37,4.71,0.5822138786315918
5,142,5696,7777,17088,23331,25613.91,4.5,0.591160774230957
5,142,5705,7550,17115,22650,26970.1,4.73,0.583777904510498
5,142,5685,7590,17055,22770,27039.63,4.76,0.5846908092498779
5,142,5615,7613,16845,22839,25358.67,4.52,0.5912411212921143
5,142,5678,7923,17034,23769,26393.46,4.65,0.5859992504119873
